sku_id,flag,affected_stores,window_start,window_end,notes
SKU00254,STOCKOUT_RISK,"STORE022, STORE004, STORE012, STORE025, STORE018, STORE014, STORE020, STORE005, STORE008, STORE006, STORE021, STORE027, STORE001, STORE024, STORE011",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 15 stores.
SKU00262,SLOW_MOVER,"STORE026, STORE014, STORE030, STORE022, STORE024, STORE008, STORE009, STORE006, STORE004, STORE013, STORE002, STORE016, STORE025, STORE007, STORE015, STORE023, STORE005, STORE021",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 4334.9 days of cover.
SKU00263,STOCKOUT_RISK,"STORE028, STORE008, STORE029, STORE001, STORE022, STORE007, STORE013, STORE011, STORE009, STORE003, STORE026, STORE012",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 12 stores.
SKU00264,STOCKOUT_RISK,"STORE021, STORE017, STORE013, STORE022, STORE018, STORE011, STORE001, STORE004, STORE009, STORE006, STORE019, STORE027, STORE002, STORE023, STORE014, STORE030, STORE012, STORE028, STORE015",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 19 stores.
SKU00285,STOCKOUT_RISK,"STORE014, STORE020, STORE017, STORE004, STORE013, STORE019, STORE007, STORE009, STORE002, STORE030, STORE001, STORE028, STORE018, STORE024, STORE012, STORE025",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 16 stores.
SKU00286,STOCKOUT_RISK,"STORE003, STORE022, STORE011, STORE020, STORE028, STORE029, STORE004, STORE010, STORE017, STORE023, STORE014, STORE026, STORE013, STORE021",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 14 stores.
SKU00291,STOCKOUT_RISK,"STORE018, STORE005, STORE007, STORE014, STORE022, STORE013, STORE026, STORE006, STORE020, STORE019",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 10 stores.
SKU00305,SLOW_MOVER,"STORE010, STORE013, STORE018, STORE027, STORE001, STORE030, STORE025, STORE007, STORE014, STORE019, STORE020, STORE011, STORE015, STORE028, STORE017, STORE021, STORE004, STORE009, STORE008, STORE003, STORE002, STORE005, STORE006, STORE026",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 6965.8 days of cover.
SKU00317,SLOW_MOVER,"STORE027, STORE025, STORE008, STORE022, STORE010, STORE028, STORE007, STORE005, STORE001, STORE002, STORE029, STORE016, STORE003, STORE015, STORE014, STORE017, STORE011, STORE026, STORE004, STORE024, STORE020, STORE019, STORE012, STORE021, STORE006, STORE030",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 6534.1 days of cover.
SKU00328,STOCKOUT_RISK,"STORE029, STORE025, STORE028, STORE030, STORE004, STORE027, STORE014, STORE008, STORE006, STORE017, STORE015, STORE002, STORE018, STORE023, STORE026",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 15 stores.
SKU00330,SLOW_MOVER,"STORE015, STORE005, STORE026, STORE030, STORE022, STORE017, STORE018, STORE020, STORE011, STORE027, STORE023, STORE025, STORE014, STORE021, STORE006",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 4921.8 days of cover.
SKU00331,SLOW_MOVER,"STORE024, STORE028, STORE016, STORE015, STORE009, STORE025, STORE008, STORE021, STORE026, STORE017, STORE029, STORE030, STORE022, STORE027, STORE003, STORE012, STORE005, STORE004, STORE014, STORE006, STORE011, STORE018, STORE002, STORE019, STORE007, STORE010, STORE013, STORE020, STORE001, STORE023",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 8273.0 days of cover.
SKU00342,SLOW_MOVER,"STORE003, STORE014, STORE029, STORE011, STORE018, STORE015, STORE028, STORE002, STORE007, STORE024, STORE013, STORE019, STORE001, STORE020, STORE016, STORE026, STORE006, STORE005, STORE022, STORE012",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5313.3 days of cover.
SKU00350,SLOW_MOVER,"STORE018, STORE024, STORE029, STORE030, STORE026, STORE020, STORE008, STORE016, STORE028, STORE009, STORE014, STORE023, STORE001, STORE013, STORE011, STORE019, STORE015, STORE017, STORE007, STORE003",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 6142.2 days of cover.
SKU00354,SLOW_MOVER,"STORE027, STORE015, STORE005, STORE020, STORE018, STORE001, STORE013, STORE019, STORE023, STORE025, STORE003, STORE014, STORE028, STORE029, STORE006, STORE021, STORE026, STORE007, STORE016, STORE004, STORE008, STORE012, STORE009, STORE024",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 7431.3 days of cover.
SKU00355,SLOW_MOVER,"STORE029, STORE013, STORE009, STORE025, STORE014, STORE028, STORE003, STORE016, STORE001, STORE018, STORE002, STORE012, STORE008, STORE024, STORE020, STORE030, STORE022, STORE004, STORE015, STORE026, STORE010, STORE017, STORE019, STORE023, STORE021, STORE011, STORE007, STORE006, STORE027",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 8892.5 days of cover.
SKU00363,STOCKOUT_RISK,"STORE025, STORE012, STORE006, STORE020, STORE027, STORE024, STORE023, STORE004, STORE028, STORE010, STORE030, STORE019",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 12 stores.
SKU00369,STOCKOUT_RISK,"STORE001, STORE010, STORE019, STORE022, STORE013, STORE026, STORE023, STORE007, STORE003, STORE028, STORE008, STORE004, STORE029",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 13 stores.
SKU00371,SLOW_MOVER,"STORE028, STORE022, STORE020, STORE026, STORE004, STORE019, STORE002, STORE012, STORE018, STORE014, STORE023, STORE003, STORE017, STORE011, STORE001, STORE021, STORE007, STORE008, STORE024, STORE015, STORE006, STORE013, STORE025",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 7071.1 days of cover.
SKU00376,STOCKOUT_RISK,"STORE014, STORE006, STORE024, STORE017, STORE021, STORE009, STORE020, STORE018, STORE016, STORE015, STORE030, STORE019, STORE025, STORE011, STORE008, STORE028, STORE002, STORE005",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 18 stores.
SKU00385,SLOW_MOVER,"STORE029, STORE015, STORE008, STORE025, STORE030, STORE019, STORE020, STORE022, STORE013, STORE011, STORE001, STORE016, STORE021, STORE006, STORE027, STORE004, STORE017, STORE023, STORE005, STORE014, STORE012, STORE010",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5993.4 days of cover.
SKU00389,SLOW_MOVER,"STORE018, STORE001, STORE017, STORE007, STORE003, STORE008, STORE024, STORE014, STORE016, STORE030, STORE025, STORE022, STORE019, STORE015, STORE029, STORE002, STORE005, STORE004, STORE027, STORE013, STORE023, STORE006, STORE020, STORE010, STORE012, STORE026",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 8128.9 days of cover.
SKU00401,SLOW_MOVER,"STORE014, STORE024, STORE018, STORE011, STORE012, STORE023, STORE015, STORE009, STORE010, STORE025, STORE008, STORE004, STORE007, STORE027, STORE019, STORE026, STORE021, STORE013, STORE029, STORE003, STORE016, STORE022, STORE020, STORE017",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 8022.1 days of cover.
SKU00416,STOCKOUT_RISK,"STORE024, STORE019, STORE025, STORE017, STORE020, STORE010, STORE004, STORE007, STORE028, STORE008, STORE012, STORE006, STORE022, STORE001, STORE005, STORE016, STORE027, STORE014",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 18 stores.
SKU00421,SLOW_MOVER,"STORE018, STORE010, STORE023, STORE005, STORE021, STORE025, STORE016, STORE004, STORE001, STORE019, STORE029, STORE024, STORE026, STORE015, STORE011, STORE003, STORE022, STORE027, STORE008, STORE002",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5654.0 days of cover.
SKU00445,STOCKOUT_RISK,"STORE027, STORE003, STORE013, STORE016, STORE029, STORE019, STORE021, STORE022, STORE002, STORE005, STORE024, STORE025, STORE010, STORE026, STORE008",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 15 stores.
SKU00449,SLOW_MOVER,"STORE004, STORE018, STORE025, STORE014, STORE020, STORE026, STORE028, STORE008, STORE017, STORE013, STORE015, STORE024, STORE010, STORE027, STORE029, STORE016, STORE019, STORE001, STORE022, STORE002, STORE030",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5792.7 days of cover.
SKU00462,SLOW_MOVER,"STORE021, STORE007, STORE009, STORE022, STORE003, STORE006, STORE008, STORE025, STORE018, STORE026, STORE023, STORE001, STORE014, STORE015, STORE016, STORE005, STORE019, STORE004",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 4414.6 days of cover.
SKU00466,SLOW_MOVER,"STORE010, STORE023, STORE030, STORE029, STORE015, STORE003, STORE022, STORE008, STORE009, STORE021, STORE019, STORE007, STORE014, STORE004, STORE027, STORE011",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 4764.9 days of cover.
SKU00484,STOCKOUT_RISK,"STORE005, STORE009, STORE027, STORE030, STORE003, STORE002, STORE006, STORE010, STORE020, STORE019, STORE023, STORE015, STORE004, STORE021",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 14 stores.
SKU00498,SLOW_MOVER,"STORE023, STORE010, STORE030, STORE013, STORE009, STORE017, STORE018, STORE016, STORE015, STORE003, STORE020, STORE002, STORE014, STORE011, STORE026, STORE001, STORE019, STORE004, STORE025, STORE029, STORE012, STORE022, STORE005, STORE008, STORE028, STORE024",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 8771.8 days of cover.
SKU00500,STOCKOUT_RISK,"STORE016, STORE017, STORE021, STORE015, STORE009, STORE006, STORE019, STORE014, STORE028, STORE030, STORE003, STORE022, STORE012, STORE023, STORE011, STORE025, STORE024, STORE002",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 18 stores.
SKU00501,SLOW_MOVER,"STORE028, STORE006, STORE011, STORE014, STORE023, STORE016, STORE010, STORE022, STORE013, STORE018, STORE002, STORE015, STORE003, STORE030, STORE009, STORE029, STORE020",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5661.8 days of cover.
SKU00506,STOCKOUT_RISK,"STORE025, STORE013, STORE028, STORE017, STORE001, STORE022, STORE018, STORE015, STORE014, STORE002, STORE007, STORE027, STORE012",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 13 stores.
SKU00507,SLOW_MOVER,"STORE020, STORE025, STORE016, STORE021, STORE015, STORE029, STORE002, STORE007, STORE009, STORE018, STORE005, STORE010, STORE026, STORE028, STORE004, STORE001",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 4933.4 days of cover.
SKU00516,SLOW_MOVER,"STORE021, STORE020, STORE026, STORE008, STORE023, STORE006, STORE010, STORE018, STORE001, STORE028, STORE014, STORE003, STORE027, STORE004, STORE015, STORE002, STORE011, STORE019, STORE030, STORE005, STORE009",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 6778.3 days of cover.
SKU00521,SLOW_MOVER,"STORE023, STORE009, STORE014, STORE027, STORE016, STORE026, STORE008, STORE015, STORE018, STORE005, STORE013, STORE007, STORE017, STORE021, STORE003, STORE022, STORE020, STORE028",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 4660.8 days of cover.
SKU00524,SLOW_MOVER,"STORE028, STORE014, STORE011, STORE026, STORE017, STORE009, STORE001, STORE010, STORE023, STORE019, STORE021, STORE016, STORE005, STORE015, STORE020, STORE006, STORE027, STORE025, STORE013, STORE007, STORE008, STORE029, STORE004, STORE012, STORE002, STORE018, STORE022",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 8043.6 days of cover.
SKU00531,STOCKOUT_RISK,"STORE008, STORE028, STORE025, STORE014, STORE002, STORE011, STORE024, STORE016, STORE013, STORE022, STORE005, STORE023, STORE026, STORE020, STORE029",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 15 stores.
SKU00532,SLOW_MOVER,"STORE028, STORE004, STORE030, STORE015, STORE029, STORE017, STORE027, STORE001, STORE005, STORE014, STORE022, STORE003, STORE016, STORE009, STORE011, STORE010, STORE012, STORE007, STORE018, STORE002, STORE006, STORE025, STORE013, STORE019, STORE024, STORE026, STORE023, STORE008",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 7252.4 days of cover.
SKU00535,SLOW_MOVER,"STORE003, STORE008, STORE021, STORE022, STORE010, STORE029, STORE024, STORE030, STORE014, STORE004, STORE028, STORE015, STORE006, STORE026, STORE001, STORE016, STORE018, STORE013, STORE019, STORE005, STORE027, STORE017, STORE007, STORE002, STORE025, STORE011, STORE020",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 7787.5 days of cover.
SKU00538,STOCKOUT_RISK,"STORE019, STORE022, STORE026, STORE006, STORE027, STORE028, STORE003, STORE020, STORE013, STORE023, STORE008, STORE016, STORE005, STORE021, STORE015",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 15 stores.
SKU00539,STOCKOUT_RISK,"STORE021, STORE009, STORE015, STORE029, STORE022, STORE001, STORE028, STORE010, STORE026, STORE018, STORE006, STORE003, STORE024, STORE012, STORE023, STORE011, STORE007, STORE017",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 18 stores.
SKU00546,SLOW_MOVER,"STORE009, STORE015, STORE028, STORE010, STORE007, STORE013, STORE016, STORE004, STORE008, STORE025, STORE019, STORE012, STORE027, STORE018, STORE001, STORE014, STORE011, STORE026, STORE005, STORE024, STORE017, STORE029, STORE022, STORE021, STORE003, STORE002",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 7883.0 days of cover.
SKU00550,SLOW_MOVER,"STORE020, STORE026, STORE012, STORE008, STORE021, STORE007, STORE030, STORE009, STORE022, STORE005, STORE004, STORE002, STORE010, STORE015, STORE019, STORE018, STORE006, STORE028, STORE003, STORE016, STORE029, STORE014, STORE025, STORE011, STORE027, STORE023, STORE013, STORE024, STORE017",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 9842.8 days of cover.
SKU00551,SLOW_MOVER,"STORE027, STORE006, STORE009, STORE030, STORE016, STORE010, STORE024, STORE011, STORE004, STORE015, STORE003, STORE005, STORE008, STORE013, STORE012, STORE002",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5109.9 days of cover.
SKU00553,SLOW_MOVER,"STORE026, STORE013, STORE001, STORE009, STORE018, STORE004, STORE015, STORE012, STORE022, STORE027, STORE019, STORE029, STORE023, STORE025, STORE008, STORE016, STORE028, STORE010, STORE021, STORE006, STORE020, STORE017, STORE002",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 6721.7 days of cover.
SKU00571,SLOW_MOVER,"STORE021, STORE027, STORE015, STORE023, STORE010, STORE030, STORE014, STORE004, STORE005, STORE002, STORE025, STORE026, STORE016, STORE029, STORE017, STORE018, STORE009, STORE003, STORE007",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5588.8 days of cover.
SKU00574,SLOW_MOVER,"STORE015, STORE012, STORE022, STORE024, STORE023, STORE018, STORE014, STORE019, STORE005, STORE027, STORE004, STORE016, STORE021, STORE009, STORE002, STORE029, STORE006, STORE020, STORE008, STORE030, STORE013",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 6862.0 days of cover.
SKU00584,SLOW_MOVER,"STORE028, STORE012, STORE004, STORE022, STORE029, STORE018, STORE021, STORE026, STORE002, STORE013, STORE009, STORE007, STORE030, STORE015, STORE003, STORE011, STORE025, STORE017, STORE024, STORE010",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5470.8 days of cover.
SKU00589,SLOW_MOVER,"STORE001, STORE002, STORE026, STORE011, STORE008, STORE005, STORE019, STORE007, STORE003, STORE018, STORE023, STORE024, STORE020, STORE028, STORE027, STORE013, STORE022, STORE015, STORE010, STORE030",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 6467.7 days of cover.
SKU00592,SLOW_MOVER,"STORE009, STORE028, STORE005, STORE029, STORE018, STORE030, STORE006, STORE004, STORE022, STORE001, STORE027, STORE021, STORE012, STORE008, STORE011, STORE019, STORE003",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5729.3 days of cover.
SKU00608,SLOW_MOVER,"STORE009, STORE002, STORE005, STORE024, STORE014, STORE017, STORE004, STORE003, STORE016, STORE015, STORE012, STORE025, STORE027, STORE021, STORE008, STORE010",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 3495.0 days of cover.
SKU00628,STOCKOUT_RISK,"STORE002, STORE024, STORE026, STORE022, STORE017, STORE010, STORE015, STORE021, STORE001, STORE030, STORE016",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 11 stores.
SKU00631,SLOW_MOVER,"STORE028, STORE013, STORE014, STORE022, STORE004, STORE016, STORE023, STORE015, STORE003, STORE027, STORE011, STORE005, STORE021, STORE019, STORE009, STORE010",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5396.7 days of cover.
SKU00638,SLOW_MOVER,"STORE021, STORE019, STORE018, STORE023, STORE011, STORE013, STORE020, STORE017, STORE010, STORE015, STORE027, STORE014, STORE004, STORE028, STORE007, STORE016, STORE008, STORE024, STORE030, STORE006, STORE029, STORE012, STORE009, STORE026",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 6375.4 days of cover.
SKU00645,SLOW_MOVER,"STORE004, STORE011, STORE014, STORE029, STORE022, STORE009, STORE012, STORE005, STORE026, STORE016, STORE003, STORE020, STORE019, STORE018, STORE028, STORE002, STORE024, STORE021, STORE006, STORE017, STORE025, STORE001, STORE013, STORE008, STORE010, STORE030, STORE027, STORE023",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 9632.0 days of cover.
SKU00649,SLOW_MOVER,"STORE025, STORE014, STORE028, STORE024, STORE002, STORE010, STORE020, STORE030, STORE012, STORE004, STORE019, STORE017, STORE007, STORE005, STORE016, STORE021, STORE029, STORE026, STORE006, STORE009, STORE022, STORE013, STORE027, STORE008, STORE011, STORE015, STORE001, STORE003, STORE023, STORE018",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 10544.7 days of cover.
SKU00654,SLOW_MOVER,"STORE006, STORE009, STORE023, STORE025, STORE010, STORE011, STORE012, STORE001, STORE030, STORE005, STORE019, STORE013, STORE003, STORE021, STORE028, STORE002, STORE024, STORE029, STORE004, STORE007, STORE027, STORE008, STORE022, STORE015, STORE018, STORE020, STORE017",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 8633.3 days of cover.
SKU00679,SLOW_MOVER,"STORE025, STORE019, STORE020, STORE003, STORE002, STORE005, STORE006, STORE028, STORE026, STORE027, STORE009, STORE015, STORE014, STORE016, STORE029, STORE007, STORE030, STORE004, STORE023, STORE022",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5275.6 days of cover.
SKU00682,SLOW_MOVER,"STORE012, STORE014, STORE004, STORE010, STORE022, STORE026, STORE019, STORE016, STORE017, STORE027, STORE002, STORE008, STORE013, STORE020, STORE001, STORE028, STORE005, STORE015, STORE003, STORE029, STORE011, STORE006, STORE025, STORE023, STORE018, STORE009, STORE024, STORE007, STORE021, STORE030",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 8844.3 days of cover.
SKU00691,SLOW_MOVER,"STORE017, STORE018, STORE027, STORE022, STORE026, STORE012, STORE003, STORE013, STORE002, STORE014, STORE001, STORE015, STORE024, STORE011, STORE021, STORE010, STORE007, STORE025, STORE030, STORE016, STORE005, STORE028, STORE023, STORE020, STORE029",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 7432.5 days of cover.
SKU00692,STOCKOUT_RISK,"STORE006, STORE026, STORE020, STORE015, STORE023, STORE012, STORE003, STORE014, STORE004",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 9 stores.
SKU00699,SLOW_MOVER,"STORE008, STORE014, STORE019, STORE013, STORE017, STORE003, STORE027, STORE010, STORE011, STORE030, STORE022, STORE006, STORE025, STORE026, STORE004, STORE009, STORE015, STORE016",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5296.9 days of cover.
SKU00721,SLOW_MOVER,"STORE029, STORE025, STORE012, STORE028, STORE024, STORE021, STORE005, STORE008, STORE004, STORE026, STORE009, STORE007, STORE006, STORE030, STORE003, STORE016, STORE013, STORE011, STORE023",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5159.8 days of cover.
